Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
Inside the Yellow Cocoon Shell,2023,Phạm Thiên Ân,"['Le Phong Vu', 'Nguyen Thinh', 'Nguyen Thi Truc Quynh', 'Vu Ngoc Manh', 'Dylan Besseau']",3.59,nan,['Drama'],179,"['France', 'Singapore', 'Spain', 'Vietnam']",Vietnamese,['Vietnamese'],"['Deuxième Ligne Films', 'JK Film', 'PŌTOCOL', 'ZORBA The Imaginary Friends', 'Fasten Films']",8403,4815,2228,57,37,91,115,355,466,1070,1210,1678,665,466,6153,https://letterboxd.com/film/inside-the-yellow-cocoon-shell/
Suncoast,2024,Laura Chinn,"['Nico Parker', 'Laura Linney', 'Woody Harrelson', 'Daniella Taylor', 'Ella Anderson', 'Amarr M. Wooten', 'Ariel Martin', 'Keyla Monterroso Mejia', 'Pam Dougherty', 'Jason Burkey', 'Andrea Powell', 'Parker Sack', 'Andrew Dicostanzo', 'Elliott Sancrant', 'Matt Walsh', 'Karen Ceesay', 'Cree Kawa', 'Orelon Sidney', 'Brandon Arroyo', 'Darnell ""Starnell"" Snyder', 'Scott MacArthur', 'Carly Grissom', 'Oakley Maloney', 'Finn Maloney']",3.38,nan,"['Comedy', 'Drama']",109,['USA'],English,['English'],"['Searchlight Pictures', 'Freestyle Picture Company', 'Seven Deuce Entertainment']",19636,6920,5483,79,32,64,141,622,1345,4161,4509,3765,819,1409,16867,https://letterboxd.com/film/suncoast/
Scoop,2024,Philip Martin,"['Gillian Anderson', 'Billie Piper', 'Rufus Sewell', 'Keeley Hawes', 'Romola Garai', 'Richard Goulding', 'Amanda Redman', 'Connor Swindells', 'Lia Williams', 'Charity Wakefield', 'Jordan Kouamé', 'Paul Popplewell', 'Zach Colton', 'Kate Fleetwood', 'Aoife Hinds', 'Alex Waldmann', 'Colin Wells', 'Raffaello Degruttola', 'Vangelis Christodoulou', 'Gordon Warnecke', 'Christopher Fairbank', 'Tim Bentinck', 'Mark Noble', 'Nicholas Murchie', 'Charlotte Avery', 'Mia Threapleton', 'Jonathan Rhodes', 'Charlie Roe', 'Harriet Benson', 'Nicholas A. Newman', 'Andrew MacBean', 'Jon De Ville', 'Kayla Rowe-Wilson']",2.98,nan,['Drama'],103,['UK'],English,"['English', 'Spanish']","['The Lighthouse', 'Voltage TV']",44296,6061,5442,5,92,327,638,3442,6374,14213,6834,4287,427,717,37351,https://letterboxd.com/film/scoop-2024/
Good Grief,2023,Dan Levy,"['Dan Levy', 'Ruth Negga', 'Himesh Patel', 'Luke Evans', 'Celia Imrie', 'Arnaud Valois', 'David Bradley', 'Mehdi Baki', 'Emma Corrin', 'Jamael Westman', 'Kaitlyn Dever', 'Yoli Fuller', 'Noé Besin', 'Cyrielle Debreuil', 'Nigel Lilley', 'Gabriel Marc', 'Zoé Bruneau']",2.98,nan,"['Comedy', 'Drama']",101,"['UK', 'USA']",English,['English'],"['Not a Real Production Company', 'SISTER']",42481,7681,7665,33,179,648,890,3732,5443,11210,6065,4947,861,1700,35675,https://letterboxd.com/film/good-grief-2023-1/
Housekeeping for Beginners,2023,Goran Stolevski,"['Anamaria Marinca', 'Alina Serban', 'Samson Selim', 'Vladimir Tintor', 'Mia Mustafa', 'DŽada Selim', 'Sara Klimoska', 'Rozafa Celaj', 'Ajse Useini', 'Aleksandra Peševska', 'Irena Ristić', 'Filip Trajkovikj', 'Mamura Mustafa', 'Fisnik Zeqiri', 'Ziba Radoncic', 'Ilire Vinca', 'Serbija Shabanova', 'Bislim Muçaj', 'Sanela Emin', 'Ganimet Abdula', 'Kjeziban Redjep', 'Sakip Muarem', 'Nahmir Useini', 'Dilbera Kamberovska', 'Vesna Petrushevska', 'Žaklina Stefkovska', 'Ines Radoncic', 'Blagoj Veselinov', 'Emilija Micevska-Trajkovikj', 'Gorast Cvetkovski', 'Aleksandar Stepanuleski', 'Strezo Stamatovski', 'Slavica Manaskova', 'Jasmina Vasileva', 'Tara Popova', 'Sofija Jancovska', 'Zlatko Mitrevski', 'Safet Sheric', 'Sunaj Ismail', 'Nadir Usen', 'Nedjat Kanberi', 'Eleonora Gievska', 'Ratka Stojceska', 'Ivo Antov Larsson', 'Stefanija Nachevska', 'Tomislav Davidovski', 'Naza Mustafa', 'Luisa Djennet Mustafa']",3.6,nan,"['Comedy', 'Drama']",107,"['Australia', 'Croatia', 'Kosovo', 'North Macedonia', 'Poland', 'Serbia', 'Sweden']",Macedonian,"['Macedonian', 'Albanian']","['List Production', 'Madants', 'Kinorama', 'SENSE Production', 'Industria Film', 'Film i Väst', 'Common Ground Pictures', 'Causeway Films']",3495,2206,1044,7,7,12,15,81,157,510,670,830,241,194,2717,https://letterboxd.com/film/housekeeping-for-beginners/
We Grown Now,2023,Minhal Baig,"['Blake Cameron James', 'Gian Knight Ramirez', 'S. Epatha Merkerson', 'Avery Holliday', 'Ora Jones', 'Lil Rel Howery', 'Jurnee Smollett']",3.62,nan,['Drama'],90,['USA'],English,['English'],"['Participant', 'Symbolic Exchange', 'Stage 6 Films']",2294,1575,756,7,3,11,10,58,92,308,433,537,177,180,1809,https://letterboxd.com/film/we-grown-now/
Disco Boy,2023,Giacomo Abbruzzese,"['Franz Rogowski', 'Morr Ndiaye', 'Laëtitia Ky', 'Leon Lučev', 'Matteo Olivetti', 'Robert Więckiewicz', 'Michał Balicki', 'Ash Goldeh', 'Max Geller', 'Mutamba Kalonji']",3.37,nan,"['Drama', 'War']",93,"['Belgium', 'France', 'Italy', 'Poland', 'USA']",French,"['French', 'Igbo', 'English', 'Polish', 'Russian']","['Films Grand Huit', 'DIVISION', 'Panache Productions', 'Dugong Films', 'Donten & Lacroix Films', 'La Compagnie Cinématographique']",9109,2963,1892,42,37,83,113,500,766,1667,1671,1393,394,350,6974,https://letterboxd.com/film/disco-boy/
Stopmotion,2023,Robert Morgan,"['Aisling Franciosi', 'Stella Gonet', 'Tom York', 'Therica Wilson-Read', 'Bridgitta Roy', 'Caoilinn Springall', 'Alex Freeborn', 'James Swanton', 'James Harris', 'Jaz Hutchins', 'Joshua J. Parker', 'Nicola Alexis']",3.1,nan,['Horror'],93,['UK'],English,['English'],"['BlueLight', 'BFI']",22700,7884,5315,29,200,440,554,1812,2424,4916,4334,3471,844,686,19681,https://letterboxd.com/film/stopmotion/
Driving Madeleine,2022,Christian Carion,"['Line Renaud', 'Dany Boon', 'Alice Isaaz', 'Gwendoline Hamon', 'Hadriel Roure', 'Elie Kaempfen', 'Christophe Rossignon', 'Jérémie Laheurte', 'Julie Delarme', 'Thomas Alden', ""Agathe L'Huillier"", 'Alexandra Mercouroff', 'Antonin Carion', 'Arthur Girard', 'Bertrand Ornano', 'Carl Laforêt', 'Christian Carion', 'Christian Mupondo', 'Elvire Lestrade', 'Frédéric Cherboeuf', 'Frederick Malahieude', 'Gilles Salle', 'Jacques Courtès', 'Jérôme Dano', 'Juliette Steimer', 'Juliette Wiatr', 'Léonie Carion', 'Marie-Claude Ragon', 'Meryl Mourey', 'Nadir Legrand', 'Philippe Beautier', 'Sylvie Audcoeur', 'Sylvie Valentini', 'Tom Hudson', 'Vincent Dauphin', 'Romy Milelli']",3.46,nan,"['Drama', 'Comedy']",91,"['Belgium', 'France']",French,['French'],"['Une Hirondelle Productions', 'Artémis Productions', 'TF1 Films Production', 'Pathé', 'Bright Lights Films', 'Kobayashi Prod', 'Shelter Prod', 'Canal+', 'Ciné+', 'TF1', 'TMC', 'SofiTVCiné 8', 'SofiTVCiné 9', 'Taxshelter. be']",3726,893,860,12,1,23,40,139,253,663,708,690,177,287,2981,https://letterboxd.com/film/driving-madeleine/
"LaRoy, Texas",2023,Shane Atkinson,"['John Magaro', 'Steve Zahn', 'Galadriel Stineman', 'Matthew Del Negro', 'Bob Clendenin', 'Brad Leland', 'Dylan Baker', 'Megan Stevenson', 'Emily Pendergast', 'Alex Knight', 'Rio Alexander', 'Darcy Shean', 'Mimi Fletcher', 'Teagan Ireland', 'Vic Browder', 'Brannon Cross', 'A.J. Buckley', 'Alaina Warren Zachary', 'Versai Knight', 'Ian A. Hudson']",3.4,nan,"['Comedy', 'Crime', 'Thriller']",110,"['USA', 'France']",English,['English'],"['Lotus Entertainment', 'Adastra Films']",5672,1652,1305,7,12,29,48,221,388,1143,1535,1012,218,176,4782,https://letterboxd.com/film/laroy-texas/
